,mean,std,min,max,count
p0_nodes,16334.20585048754,10995.519966494245,89.0,65024.0,923
p0_cutoffs,2190.4344528710726,2588.541419649272,0.0,17515.0,923
p0_tt_hits,2353.224268689057,5220.178187618084,0.0,37725.0,923
p0_tt_cutoffs,816.4853737811484,1468.059732678982,0.0,11211.0,923
p0_skipped_move,526.3011917659805,716.4732152100472,0.0,3528.0,923
p0_depth,9.42578548212351,10.370475755476964,2.0,30.0,923
p0_time_spent,0.6515545002165258,0.26832083581329774,0.0013350999797694385,1.0717789000482298,923
p1_nodes,16687.553021664768,12882.485639493245,89.0,75712.0,877
p1_cutoffs,2177.278221208666,2871.276404216713,0.0,21095.0,877
p1_tt_hits,2701.667046750285,6617.392120407485,0.0,44583.0,877
p1_tt_cutoffs,841.3956670467503,1658.0263389334202,0.0,9867.0,877
p1_skipped_move,520.3785632839225,749.2555258433732,0.0,4155.0,877
p1_depth,9.397947548460662,10.43938448152031,2.0,30.0,877
p1_time_spent,0.6631742835816361,0.27885376306094223,0.0013141999952495098,1.2736969999969006,877
