total_reward
1
-1
1
-1
1
-1
1
-1
1
-1
1
-1
1
-1
-1
-1
1
-1
1
-1
-1
-1
1
-1
1
-1
1
-1
1
-1
1
-1
1
-1
1
-1
-1
-1
1
-1
1
1
-1
-1
1
1
1
1
1
-1
1
-1
1
-1
1
-1
1
1
1
1
1
-1
-1
-1
1
-1
-1
-1
-1
1
1
-1
1
1
1
-1
1
-1
1
1
1
-1
1
-1
1
1
-1
-1
1
-1
1
-1
1
-1
1
-1
1
1
1
-1
